==================================================
Job name: essl_ns
Job ID:   17170
Node:     aisa-gpuB01.ki.uni-stuttgart.de
GPUs:     1
==================================================
Using Python:
/mnt/nfs/home/st195720/SSLPDEs/SSLForPDEs/.conda/bin/python
Torch: 2.8.0+cu128
CUDA available: True
---
Staging dataset
From: /mnt/nfs/home/st195720/SSLPDEs/SSLForPDEs/datasets
To:   /tmp/datasets
---
Data staging complete.
---
Starting Navier–Stokes future-state prediction
---
Started at Mon Jan 26 12:04:42 PM CET 2026
---
Starting E-SSL + regression training
---
Started at Mon Jan 26 12:04:42 PM CET 2026
[E-SSL] Epoch 0 Loss: 91.7556
[E-SSL] Epoch 1 Loss: 48.1631
[E-SSL] Epoch 2 Loss: 48.0035
[E-SSL] Epoch 3 Loss: 47.8923
[E-SSL] Epoch 4 Loss: 47.8531
[E-SSL] Epoch 5 Loss: 47.8259
[E-SSL] Epoch 6 Loss: 47.8239
[E-SSL] Epoch 7 Loss: 47.8009
[E-SSL] Epoch 8 Loss: 47.7947
[E-SSL] Epoch 9 Loss: 47.7849
[E-SSL] Epoch 10 Loss: 47.7746
[E-SSL] Epoch 11 Loss: 47.7742
[E-SSL] Epoch 12 Loss: 47.7597
[E-SSL] Epoch 13 Loss: 47.7533
[E-SSL] Epoch 14 Loss: 47.7554
[E-SSL] Epoch 15 Loss: 47.7495
[E-SSL] Epoch 16 Loss: 47.7466
[E-SSL] Epoch 17 Loss: 47.7408
[E-SSL] Epoch 18 Loss: 47.7387
[E-SSL] Epoch 19 Loss: 47.7274
[E-SSL] Epoch 20 Loss: 47.7267
[E-SSL] Epoch 21 Loss: 47.7198
[E-SSL] Epoch 22 Loss: 47.7115
[E-SSL] Epoch 23 Loss: 47.7077
[E-SSL] Epoch 24 Loss: 47.7087
[E-SSL] Epoch 25 Loss: 47.7101
[E-SSL] Epoch 26 Loss: 47.7039
[E-SSL] Epoch 27 Loss: 47.7006
[E-SSL] Epoch 28 Loss: 47.7018
[E-SSL] Epoch 29 Loss: 47.7031
[E-SSL] Epoch 30 Loss: 47.6992
[E-SSL] Epoch 31 Loss: 47.6987
[E-SSL] Epoch 32 Loss: 47.6974
[E-SSL] Epoch 33 Loss: 47.6983
[E-SSL] Epoch 34 Loss: 47.6971
[E-SSL] Epoch 35 Loss: 47.6950
[E-SSL] Epoch 36 Loss: 47.6940
[E-SSL] Epoch 37 Loss: 47.6953
[E-SSL] Epoch 38 Loss: 47.6919
[E-SSL] Epoch 39 Loss: 47.6923
[E-SSL] Epoch 40 Loss: 47.6913
[E-SSL] Epoch 41 Loss: 47.6920
[E-SSL] Epoch 42 Loss: 47.6909
[E-SSL] Epoch 43 Loss: 47.6967
[E-SSL] Epoch 44 Loss: 47.6895
[E-SSL] Epoch 45 Loss: 47.6897
[E-SSL] Epoch 46 Loss: 47.6884
[E-SSL] Epoch 47 Loss: 47.6969
[E-SSL] Epoch 48 Loss: 47.6907
[E-SSL] Epoch 49 Loss: 47.6873
[E-SSL] Epoch 50 Loss: 47.6914
[E-SSL] Epoch 51 Loss: 47.6858
[E-SSL] Epoch 52 Loss: 47.6890
[E-SSL] Epoch 53 Loss: 47.6880
[E-SSL] Epoch 54 Loss: 47.6874
[E-SSL] Epoch 55 Loss: 47.6837
[E-SSL] Epoch 56 Loss: 47.6830
[E-SSL] Epoch 57 Loss: 47.6878
[E-SSL] Epoch 58 Loss: 47.6819
[E-SSL] Epoch 59 Loss: 47.6801
[E-SSL] Epoch 60 Loss: 47.6795
[E-SSL] Epoch 61 Loss: 47.6790
[E-SSL] Epoch 62 Loss: 47.6747
[E-SSL] Epoch 63 Loss: 47.6766
[E-SSL] Epoch 64 Loss: 47.6798
[E-SSL] Epoch 65 Loss: 47.6751
[E-SSL] Epoch 66 Loss: 47.6754
[E-SSL] Epoch 67 Loss: 47.6707
[E-SSL] Epoch 68 Loss: 47.6711
[E-SSL] Epoch 69 Loss: 47.6690
[E-SSL] Epoch 70 Loss: 47.6697
[E-SSL] Epoch 71 Loss: 47.6682
[E-SSL] Epoch 72 Loss: 47.6619
[E-SSL] Epoch 73 Loss: 47.6657
[E-SSL] Epoch 74 Loss: 47.6665
[E-SSL] Epoch 75 Loss: 47.6790
[E-SSL] Epoch 76 Loss: 47.6641
[E-SSL] Epoch 77 Loss: 47.6623
[E-SSL] Epoch 78 Loss: 47.6592
[E-SSL] Epoch 79 Loss: 47.6557
[E-SSL] Epoch 80 Loss: 47.6536
[E-SSL] Epoch 81 Loss: 47.6536
[E-SSL] Epoch 82 Loss: 47.6494
[E-SSL] Epoch 83 Loss: 47.6496
[E-SSL] Epoch 84 Loss: 47.6459
[E-SSL] Epoch 85 Loss: 47.6470
[E-SSL] Epoch 86 Loss: 47.6458
[E-SSL] Epoch 87 Loss: 47.6415
[E-SSL] Epoch 88 Loss: 47.6394
[E-SSL] Epoch 89 Loss: 47.6715
[E-SSL] Epoch 90 Loss: 47.6548
[E-SSL] Epoch 91 Loss: 47.6459
[E-SSL] Epoch 92 Loss: 47.6398
[E-SSL] Epoch 93 Loss: 47.6352
[E-SSL] Epoch 94 Loss: 47.6373
[E-SSL] Epoch 95 Loss: 47.6340
[E-SSL] Epoch 96 Loss: 47.6291
[E-SSL] Epoch 97 Loss: 47.6312
[E-SSL] Epoch 98 Loss: 47.6238
[E-SSL] Epoch 99 Loss: 47.6242
Saved encoder + equivariant predictor to essl_checkpoint.pt
[REG] Epoch 0 MSE: 0.018521
