==================================================
Job name: hybrid_essl_ns
Job ID:   17552
Node:     aisa-gpuB02.ki.uni-stuttgart.de
GPUs:     1
==================================================
Using Python:
/mnt/nfs/home/st195720/SSLPDEs/SSLForPDEs/.conda/bin/python
Torch: 2.8.0+cu128
CUDA available: True
---
Staging dataset
From: /mnt/nfs/home/st195720/SSLPDEs/SSLForPDEs/datasets
To:   /tmp/datasets
---
Data staging complete.
---
Starting Navier–Stokes future-state prediction
---
Started at Wed Jan 28 03:53:36 PM CET 2026
---
Starting Combined losses Train
---
Started at Wed Jan 28 03:53:36 PM CET 2026
[CARE] Epoch 0 | Loss 80.6982
[CARE] Epoch 1 | Loss 47.9101
[CARE] Epoch 2 | Loss 47.8291
[CARE] Epoch 3 | Loss 47.7895
[CARE] Epoch 4 | Loss 47.7724
[CARE] Epoch 5 | Loss 47.7614
[CARE] Epoch 6 | Loss 47.7372
[CARE] Epoch 7 | Loss 47.7321
[CARE] Epoch 8 | Loss 47.7237
[CARE] Epoch 9 | Loss 47.7164
[CARE] Epoch 10 | Loss 47.7114
[CARE] Epoch 11 | Loss 47.7008
[CARE] Epoch 12 | Loss 47.6995
[CARE] Epoch 13 | Loss 47.6976
[CARE] Epoch 14 | Loss 47.6941
[CARE] Epoch 15 | Loss 47.6875
[CARE] Epoch 16 | Loss 47.6826
[CARE] Epoch 17 | Loss 47.6803
[CARE] Epoch 18 | Loss 47.6757
[CARE] Epoch 19 | Loss 47.6715
[CARE] Epoch 20 | Loss 47.6729
[CARE] Epoch 21 | Loss 47.6667
[CARE] Epoch 22 | Loss 47.6656
[CARE] Epoch 23 | Loss 47.6665
[CARE] Epoch 24 | Loss 47.6586
[CARE] Epoch 25 | Loss 47.6596
[CARE] Epoch 26 | Loss 47.6568
[CARE] Epoch 27 | Loss 47.6545
[CARE] Epoch 28 | Loss 47.6546
[CARE] Epoch 29 | Loss 47.6558
[CARE] Epoch 30 | Loss 47.6524
[CARE] Epoch 31 | Loss 47.6507
[CARE] Epoch 32 | Loss 47.6480
[CARE] Epoch 33 | Loss 47.6457
[CARE] Epoch 34 | Loss 47.6412
[CARE] Epoch 35 | Loss 47.6419
[CARE] Epoch 36 | Loss 47.6483
[CARE] Epoch 37 | Loss 47.6429
[CARE] Epoch 38 | Loss 47.6361
[CARE] Epoch 39 | Loss 47.6362
[CARE] Epoch 40 | Loss 47.6367
[CARE] Epoch 41 | Loss 47.6351
[CARE] Epoch 42 | Loss 47.6361
[CARE] Epoch 43 | Loss 47.6310
[CARE] Epoch 44 | Loss 47.6281
[CARE] Epoch 45 | Loss 47.6271
[CARE] Epoch 46 | Loss 47.6287
[CARE] Epoch 47 | Loss 47.6250
[CARE] Epoch 48 | Loss 47.6273
[CARE] Epoch 49 | Loss 47.6251
[CARE] Epoch 50 | Loss 47.6294
[CARE] Epoch 51 | Loss 47.6253
[CARE] Epoch 52 | Loss 47.6320
[CARE] Epoch 53 | Loss 47.6246
[CARE] Epoch 54 | Loss 47.6205
[CARE] Epoch 55 | Loss 47.6205
[CARE] Epoch 56 | Loss 47.6161
[CARE] Epoch 57 | Loss 47.6159
[CARE] Epoch 58 | Loss 47.6153
[CARE] Epoch 59 | Loss 47.6095
[REG] Epoch 0 | MSE 0.888980
[REG] Epoch 1 | MSE 0.633197
[REG] Epoch 2 | MSE 0.450094
[REG] Epoch 3 | MSE 0.290203
[REG] Epoch 4 | MSE 0.186839
[REG] Epoch 5 | MSE 0.118154
[REG] Epoch 6 | MSE 0.080061
[REG] Epoch 7 | MSE 0.068180
[REG] Epoch 8 | MSE 0.064905
[REG] Epoch 9 | MSE 0.058556
[REG] Epoch 10 | MSE 0.053697
[REG] Epoch 11 | MSE 0.055799
[REG] Epoch 12 | MSE 0.048976
[REG] Epoch 13 | MSE 0.042502
[REG] Epoch 14 | MSE 0.033565
[REG] Epoch 15 | MSE 0.036822
[REG] Epoch 16 | MSE 0.035980
[REG] Epoch 17 | MSE 0.035686
[REG] Epoch 18 | MSE 0.032668
[REG] Epoch 19 | MSE 0.027632
[REG] Epoch 20 | MSE 0.024904
[REG] Epoch 21 | MSE 0.030183
[REG] Epoch 22 | MSE 0.022894
[REG] Epoch 23 | MSE 0.024736
[REG] Epoch 24 | MSE 0.021423
[REG] Epoch 25 | MSE 0.024078
[REG] Epoch 26 | MSE 0.019057
[REG] Epoch 27 | MSE 0.018305
[REG] Epoch 28 | MSE 0.019306
[REG] Epoch 29 | MSE 0.014521
[REG] Epoch 30 | MSE 0.019551
[REG] Epoch 31 | MSE 0.015985
[REG] Epoch 32 | MSE 0.016351
[REG] Epoch 33 | MSE 0.013360
[REG] Epoch 34 | MSE 0.013354
[REG] Epoch 35 | MSE 0.011604
[REG] Epoch 36 | MSE 0.011044
[REG] Epoch 37 | MSE 0.011629
[REG] Epoch 38 | MSE 0.011755
[REG] Epoch 39 | MSE 0.010697
Finished at Wed Jan 28 09:58:14 PM CET 2026
